model,phase,actual,predicted,count
Logistic Regression,temperature,surprised,calm,1
Logistic Regression,temperature,surprised,disgust,3
Logistic Regression,temperature,surprised,fearful,12
Logistic Regression,temperature,surprised,happy,1
Logistic Regression,temperature,surprised,neutral,2
Logistic Regression,temperature,surprised,sad,4
Logistic Regression,temperature,surprised,surprised,9
Random Forest,none,angry,angry,19
Random Forest,none,angry,calm,1
Random Forest,none,angry,disgust,1
Random Forest,none,angry,fearful,3
Random Forest,none,angry,happy,1
Random Forest,none,angry,neutral,0
Random Forest,none,angry,sad,1
Random Forest,none,angry,surprised,6
Random Forest,none,calm,angry,0
Random Forest,none,calm,calm,23
Random Forest,none,calm,disgust,0
Random Forest,none,calm,fearful,1
Random Forest,none,calm,happy,0
Random Forest,none,calm,neutral,0
Random Forest,none,calm,sad,7
Random Forest,none,calm,surprised,1
Random Forest,none,disgust,angry,7
Random Forest,none,disgust,calm,2
Random Forest,none,disgust,disgust,12
Random Forest,none,disgust,fearful,1
Random Forest,none,disgust,happy,0
Random Forest,none,disgust,neutral,0
Random Forest,none,disgust,sad,2
Random Forest,none,disgust,surprised,8
Random Forest,none,fearful,angry,2
Random Forest,none,fearful,calm,2
Random Forest,none,fearful,disgust,1
Random Forest,none,fearful,fearful,17
Random Forest,none,fearful,happy,6
Random Forest,none,fearful,neutral,0
Random Forest,none,fearful,sad,4
Random Forest,none,fearful,surprised,0
Random Forest,none,happy,angry,0
Random Forest,none,happy,calm,0
Random Forest,none,happy,disgust,3
Random Forest,none,happy,fearful,13
Random Forest,none,happy,happy,9
Random Forest,none,happy,neutral,0
Random Forest,none,happy,sad,5
Random Forest,none,happy,surprised,2
Random Forest,none,neutral,angry,0
Random Forest,none,neutral,calm,3
Random Forest,none,neutral,disgust,0
Random Forest,none,neutral,fearful,0
Random Forest,none,neutral,happy,0
Random Forest,none,neutral,neutral,1
Random Forest,none,neutral,sad,12
Random Forest,none,neutral,surprised,0
Random Forest,none,sad,angry,1
Random Forest,none,sad,calm,7
Random Forest,none,sad,disgust,3
Random Forest,none,sad,fearful,6
Random Forest,none,sad,happy,2
Random Forest,none,sad,neutral,0
Random Forest,none,sad,sad,12
Random Forest,none,sad,surprised,1
Random Forest,none,surprised,angry,2
Random Forest,none,surprised,calm,2
Random Forest,none,surprised,disgust,5
Random Forest,none,surprised,fearful,9
Random Forest,none,surprised,happy,2
Random Forest,none,surprised,neutral,0
Random Forest,none,surprised,sad,3
Random Forest,none,surprised,surprised,9
Random Forest,sigmoid,angry,angry,16
Random Forest,sigmoid,angry,calm,1
Random Forest,sigmoid,angry,disgust,3
Random Forest,sigmoid,angry,fearful,5
Random Forest,sigmoid,angry,happy,0
Random Forest,sigmoid,angry,neutral,0
Random Forest,sigmoid,angry,sad,1
Random Forest,sigmoid,angry,surprised,6
Random Forest,sigmoid,calm,angry,0
Random Forest,sigmoid,calm,calm,23
Random Forest,sigmoid,calm,disgust,0
Random Forest,sigmoid,calm,fearful,1
Random Forest,sigmoid,calm,happy,0
Random Forest,sigmoid,calm,neutral,0
Random Forest,sigmoid,calm,sad,7
Random Forest,sigmoid,calm,surprised,1
Random Forest,sigmoid,disgust,angry,5
Random Forest,sigmoid,disgust,calm,3
Random Forest,sigmoid,disgust,disgust,10
Random Forest,sigmoid,disgust,fearful,2
Random Forest,sigmoid,disgust,happy,1
Random Forest,sigmoid,disgust,neutral,0
Random Forest,sigmoid,disgust,sad,4
Random Forest,sigmoid,disgust,surprised,7
Random Forest,sigmoid,fearful,angry,2
Random Forest,sigmoid,fearful,calm,4
Random Forest,sigmoid,fearful,disgust,0
Random Forest,sigmoid,fearful,fearful,20
Random Forest,sigmoid,fearful,happy,2
Random Forest,sigmoid,fearful,neutral,0
Random Forest,sigmoid,fearful,sad,4
Random Forest,sigmoid,fearful,surprised,0
Random Forest,sigmoid,happy,angry,0
Random Forest,sigmoid,happy,calm,0
Random Forest,sigmoid,happy,disgust,3
Random Forest,sigmoid,happy,fearful,15
Random Forest,sigmoid,happy,happy,6
Random Forest,sigmoid,happy,neutral,0
Random Forest,sigmoid,happy,sad,6
Random Forest,sigmoid,happy,surprised,2
Random Forest,sigmoid,neutral,angry,0
Random Forest,sigmoid,neutral,calm,3
Random Forest,sigmoid,neutral,disgust,0
Random Forest,sigmoid,neutral,fearful,0
Random Forest,sigmoid,neutral,happy,0
Random Forest,sigmoid,neutral,neutral,2
Random Forest,sigmoid,neutral,sad,11
Random Forest,sigmoid,neutral,surprised,0
Random Forest,sigmoid,sad,angry,0
